RunID,Date,DAQTimeLapse,DriftField_V_per_cm
360868,2019-06-27 23:45:30,38.0,230.97924187725633
360869,2019-06-27 23:47:15,38.0,230.97924187725633
360870,2019-06-27 23:48:58,38.0,230.97924187725633
360871,2019-06-27 23:50:42,38.0,231.0063176895307
360872,2019-06-27 23:52:25,38.0,231.02436823104694
360873,2019-06-27 23:54:09,38.0,231.02436823104694
360874,2019-06-27 23:55:53,38.0,230.99729241877256
360875,2019-06-27 23:57:38,39.0,230.99729241877256
360876,2019-06-27 23:59:22,38.0,230.99729241877256
360877,2019-06-28 00:01:05,39.0,230.99729241877256
360878,2019-06-28 00:02:49,38.0,230.97924187725633
360879,2019-06-28 00:04:32,39.0,231.0063176895307
360880,2019-06-28 00:06:16,38.0,231.0063176895307
360881,2019-06-28 00:07:59,39.0,230.97924187725633
360882,2019-06-28 00:09:43,38.0,230.97924187725633
360883,2019-06-28 00:11:27,38.0,230.99729241877256
360884,2019-06-28 00:13:12,39.0,230.99729241877256
360885,2019-06-28 00:14:56,38.0,230.97924187725633
360886,2019-06-28 00:16:39,38.0,230.99729241877256
360887,2019-06-28 00:18:23,38.0,231.0063176895307
360888,2019-06-28 00:20:06,39.0,230.99729241877256
360889,2019-06-28 00:21:50,38.0,230.99729241877256
360890,2019-06-28 00:23:36,38.0,230.97924187725633
360891,2019-06-28 00:25:19,38.0,230.99729241877256
360892,2019-06-28 00:27:03,38.0,230.99729241877256
360893,2019-06-28 00:28:46,39.0,231.0063176895307
360894,2019-06-28 00:30:30,38.0,230.97924187725633
360895,2019-06-28 00:32:13,39.0,230.97924187725633
360896,2019-06-28 00:33:57,39.0,230.99729241877256
360897,2019-06-28 00:35:42,39.0,231.0063176895307
360898,2019-06-28 00:37:26,39.0,230.99729241877256
360899,2019-06-28 00:39:10,38.0,230.99729241877256
360900,2019-06-28 00:40:53,39.0,230.97924187725633
360901,2019-06-28 00:42:39,38.0,230.97924187725633
360902,2019-06-28 00:44:22,39.0,230.97924187725633
360903,2019-06-28 00:46:07,38.0,231.0063176895307
360904,2019-06-28 00:47:52,38.0,230.99729241877256
360905,2019-06-28 00:49:35,39.0,230.99729241877256
360906,2019-06-28 00:51:19,38.0,231.0063176895307
360907,2019-06-28 00:53:02,39.0,230.97924187725633
360908,2019-06-28 00:54:48,39.0,230.99729241877256
360909,2019-06-28 00:56:34,38.0,230.99729241877256
360910,2019-06-28 00:58:17,38.0,230.99729241877256
360911,2019-06-28 01:00:00,39.0,230.99729241877256
360912,2019-06-28 01:01:44,39.0,231.0063176895307
360913,2019-06-28 01:03:28,38.0,230.97924187725633
360914,2019-06-28 01:05:11,39.0,231.0063176895307
360915,2019-06-28 01:06:57,38.0,231.0063176895307
360916,2019-06-28 01:08:40,39.0,231.0063176895307
360917,2019-06-28 01:10:24,39.0,230.99729241877256
360918,2019-06-28 01:12:07,39.0,230.99729241877256
360919,2019-06-28 01:13:53,38.0,230.97924187725633
360920,2019-06-28 01:15:37,39.0,230.99729241877256
360922,2019-06-28 01:19:04,38.0,231.0063176895307
360923,2019-06-28 01:20:48,38.0,231.0063176895307
360924,2019-06-28 01:22:31,38.0,230.99729241877256
360925,2019-06-28 01:24:15,38.0,230.99729241877256
360926,2019-06-28 01:25:58,39.0,230.99729241877256
360927,2019-06-28 01:27:42,38.0,230.99729241877256
360928,2019-06-28 01:29:25,38.0,230.97924187725633
360929,2019-06-28 01:31:09,38.0,230.97924187725633
